Id,0,Degree
Keesha Sharp,cast,2
Roger Guenveur Smith,cast,8
Derrick Baskin,cast,2
Barrett Doss,cast,2
My Boss's Daughter,movie,12
David Zucker,director,34
Ashton Kutcher,cast,11
Tara Reid,cast,2
Jeffrey Tambor,cast,14
Andy Richter,cast,16
Michael Madsen,cast,18
Jon Abrahams,cast,6
David Koechner,cast,18
Carmen Electra,cast,10
Molly Shannon,cast,28
Mystery Men,movie,16
Kinka Usher,director,16
Ben Stiller,cast,19
Hank Azaria,cast,9
William H. Macy,cast,32
Janeane Garofalo,cast,15
Kel Mitchell,cast,4
Paul Reubens,cast,27
Wes Studi,cast,6
Greg Kinnear,cast,31
Geoffrey Rush,cast,10
Lena Olin,cast,4
Eddie Izzard,cast,9
Artie Lange,cast,2
Pras,cast,2
Claire Forlani,cast,6
Tom Waits,cast,10
Once Upon a Time in America,movie,11
Sergio Leone,director,23
Robert De Niro,cast,19
James Woods,cast,7
Elizabeth McGovern,cast,2
Treat Williams,cast,6
Tuesday Weld,cast,4
